cohort_month,cohort_label,activity_month,activity_label,cohort_index,cohort_size,retained_customers,retention_rate,retention_rate_percent,cohort_revenue,revenue_per_acquired_customer,revenue_per_retained_customer,cumulative_cohort_revenue,cumulative_revenue_per_customer,is_complete_cohort_month,is_complete_activity_month,is_complete_observation
2009-12-01,2009-12,2011-04-01,2011-04,16,955,251,0.2628,26.28,163073.42,170.76,649.69,6020573.13,6304.27,true,true,true
2009-12-01,2009-12,2011-05-01,2011-05,17,955,289,0.3026,30.26,286209.39,299.7,990.34,6306782.52,6603.96,true,true,true
2009-12-01,2009-12,2011-06-01,2011-06,18,955,270,0.2827,28.27,279982.71,293.18,1036.97,6586765.23,6897.14,true,true,true
2009-12-01,2009-12,2011-07-01,2011-07,19,955,248,0.2597,25.97,254244.84,266.22,1025.18,6841010.07,7163.36,true,true,true
2009-12-01,2009-12,2011-08-01,2011-08,20,955,244,0.2555,25.55,273833.38,286.74,1122.27,7114843.45,7450.1,true,true,true
2009-12-01,2009-12,2011-09-01,2011-09,21,955,301,0.3152,31.52,376156.51,393.88,1249.69,7490999.96,7843.98,true,true,true
2009-12-01,2009-12,2011-10-01,2011-10,22,955,291,0.3047,30.47,414950.35,434.5,1425.95,7905950.31,8278.48,true,true,true
2009-12-01,2009-12,2011-11-01,2011-11,23,955,389,0.4073,40.73,446632.65,467.68,1148.16,8352582.96,8746.16,true,true,true
2009-12-01,2009-12,2011-12-01,2011-12,24,955,188,0.1969,19.69,163414.18,171.11,869.22,8515997.14,8917.27,true,false,false
2010-01-01,2010-01,2010-01-01,2010-01,0,383,383,1.0,100.0,161078.69,420.57,420.57,161078.69,420.57,true,true,true
2010-01-01,2010-01,2010-02-01,2010-02,1,383,79,0.2063,20.63,38985.35,101.79,493.49,200064.04,522.36,true,true,true
2010-01-01,2010-01,2010-03-01,2010-03,2,383,119,0.3107,31.07,50955.47,133.04,428.2,251019.51,655.4,true,true,true
2010-01-01,2010-01,2010-04-01,2010-04,3,383,117,0.3055,30.55,57400.21,149.87,490.6,308419.72,805.27,true,true,true
2010-01-01,2010-01,2010-05-01,2010-05,4,383,101,0.2637,26.37,58528.89,152.82,579.49,366948.61,958.09,true,true,true
2010-01-01,2010-01,2010-06-01,2010-06,5,383,115,0.3003,30.03,60795.09,158.73,528.65,427743.7,1116.82,true,true,true
2010-01-01,2010-01,2010-07-01,2010-07,6,383,99,0.2585,25.85,51990.1,135.74,525.15,479733.8,1252.57,true,true,true
2010-01-01,2010-01,2010-08-01,2010-08,7,383,88,0.2298,22.98,48004.07,125.34,545.5,527737.87,1377.91,true,true,true
2010-01-01,2010-01,2010-09-01,2010-09,8,383,107,0.2794,27.94,60459.54,157.86,565.04,588197.41,1535.76,true,true,true
2010-01-01,2010-01,2010-10-01,2010-10,9,383,122,0.3185,31.85,74544.04,194.63,611.02,662741.45,1730.4,true,true,true
2010-01-01,2010-01,2010-11-01,2010-11,10,383,116,0.3029,30.29,76602,200.01,660.36,739343.45,1930.4,true,true,true
2010-01-01,2010-01,2010-12-01,2010-12,11,383,66,0.1723,17.23,39667.04,103.57,601.02,779010.49,2033.97,true,true,true
2010-01-01,2010-01,2011-01-01,2011-01,12,383,85,0.2219,22.19,42528.8,111.04,500.34,821539.29,2145.01,true,true,true
2010-01-01,2010-01,2011-02-01,2011-02,13,383,68,0.1775,17.75,34626.2,90.41,509.21,856165.49,2235.42,true,true,true
2010-01-01,2010-01,2011-03-01,2011-03,14,383,72,0.188,18.8,48334.91,126.2,671.32,904500.4,2361.62,true,true,true
2010-01-01,2010-01,2011-04-01,2011-04,15,383,58,0.1514,15.14,30963.83,80.85,533.86,935464.23,2442.47,true,true,true
2010-01-01,2010-01,2011-05-01,2011-05,16,383,90,0.235,23.5,49887.18,130.25,554.3,985351.41,2572.72,true,true,true
2010-01-01,2010-01,2011-06-01,2011-06,17,383,76,0.1984,19.84,40794.9,106.51,536.78,1026146.31,2679.23,true,true,true
2010-01-01,2010-01,2011-07-01,2011-07,18,383,71,0.1854,18.54,47788.47,124.77,673.08,1073934.78,2804.01,true,true,true
2010-01-01,2010-01,2011-08-01,2011-08,19,383,75,0.1958,19.58,42644.37,111.34,568.59,1116579.15,2915.35,true,true,true
2010-01-01,2010-01,2011-09-01,2011-09,20,383,93,0.2428,24.28,59080.64,154.26,635.28,1175659.79,3069.61,true,true,true
2010-01-01,2010-01,2011-10-01,2011-10,21,383,74,0.1932,19.32,59783.83,156.09,807.89,1235443.62,3225.7,true,true,true
2010-01-01,2010-01,2011-11-01,2011-11,22,383,94,0.2454,24.54,58412.73,152.51,621.41,1293856.35,3378.22,true,true,true
2010-01-01,2010-01,2011-12-01,2011-12,23,383,22,0.0574,5.74,8807.58,23,400.34,1302663.93,3401.21,true,false,false
2010-02-01,2010-02,2010-02-01,2010-02,0,374,374,1.0,100.0,169642.03,453.59,453.59,169642.03,453.59,true,true,true
2010-02-01,2010-02,2010-03-01,2010-03,1,374,89,0.238,23.8,33174.62,88.7,372.75,202816.65,542.29,true,true,true
2010-02-01,2010-02,2010-04-01,2010-04,2,374,84,0.2246,22.46,54677.76,146.2,650.93,257494.41,688.49,true,true,true
2010-02-01,2010-02,2010-05-01,2010-05,3,374,109,0.2914,29.14,53236.91,142.34,488.41,310731.32,830.83,true,true,true
2010-02-01,2010-02,2010-06-01,2010-06,4,374,92,0.246,24.6,43906.71,117.4,477.25,354638.03,948.23,true,true,true
2010-02-01,2010-02,2010-07-01,2010-07,5,374,75,0.2005,20.05,39565.7,105.79,527.54,394203.73,1054.02,true,true,true
2010-02-01,2010-02,2010-08-01,2010-08,6,374,72,0.1925,19.25,40078.67,107.16,556.65,434282.4,1161.18,true,true,true
2010-02-01,2010-02,2010-09-01,2010-09,7,374,107,0.2861,28.61,51089.57,136.6,477.47,485371.97,1297.79,true,true,true
2010-02-01,2010-02,2010-10-01,2010-10,8,374,95,0.254,25.4,52810.88,141.21,555.9,538182.85,1438.99,true,true,true
2010-02-01,2010-02,2010-11-01,2010-11,9,374,103,0.2754,27.54,54630.03,146.07,530.39,592812.88,1585.06,true,true,true
2010-02-01,2010-02,2010-12-01,2010-12,10,374,43,0.115,11.5,24608.22,65.8,572.28,617421.1,1650.86,true,true,true
2010-02-01,2010-02,2011-01-01,2011-01,11,374,47,0.1257,12.57,18969.02,50.72,403.6,636390.12,1701.58,true,true,true
2010-02-01,2010-02,2011-02-01,2011-02,12,374,57,0.1524,15.24,27773.95,74.26,487.26,664164.07,1775.84,true,true,true
2010-02-01,2010-02,2011-03-01,2011-03,13,374,65,0.1738,17.38,34440.25,92.09,529.85,698604.32,1867.93,true,true,true
2010-02-01,2010-02,2011-04-01,2011-04,14,374,46,0.123,12.3,20696.93,55.34,449.93,719301.25,1923.27,true,true,true
2010-02-01,2010-02,2011-05-01,2011-05,15,374,75,0.2005,20.05,37949.95,101.47,506,757251.2,2024.74,true,true,true
2010-02-01,2010-02,2011-06-01,2011-06,16,374,60,0.1604,16.04,29949.07,80.08,499.15,787200.27,2104.81,true,true,true
2010-02-01,2010-02,2011-07-01,2011-07,17,374,61,0.1631,16.31,33379.19,89.25,547.2,820579.46,2194.06,true,true,true
2010-02-01,2010-02,2011-08-01,2011-08,18,374,54,0.1444,14.44,25452.85,68.06,471.35,846032.31,2262.12,true,true,true
2010-02-01,2010-02,2011-09-01,2011-09,19,374,86,0.2299,22.99,45351.94,121.26,527.35,891384.25,2383.38,true,true,true
2010-02-01,2010-02,2011-10-01,2011-10,20,374,86,0.2299,22.99,45876.41,122.66,533.45,937260.66,2506.04,true,true,true
2010-02-01,2010-02,2011-11-01,2011-11,21,374,61,0.1631,16.31,38482.65,102.89,630.86,975743.31,2608.94,true,true,true
2010-02-01,2010-02,2011-12-01,2011-12,22,374,22,0.0588,5.88,11143.89,29.8,506.54,986887.2,2638.74,true,false,false
2010-03-01,2010-03,2010-03-01,2010-03,0,443,443,1.0,100.0,234185.26,528.63,528.63,234185.26,528.63,true,true,true
2010-03-01,2010-03,2010-04-01,2010-04,1,443,84,0.1896,18.96,49737.45,112.27,592.11,283922.71,640.91,true,true,true
2010-03-01,2010-03,2010-05-01,2010-05,2,443,102,0.2302,23.02,51722.75,116.76,507.09,335645.46,757.66,true,true,true
2010-03-01,2010-03,2010-06-01,2010-06,3,443,107,0.2415,24.15,64507.63,145.62,602.88,400153.09,903.28,true,true,true
2010-03-01,2010-03,2010-07-01,2010-07,4,443,103,0.2325,23.25,50115.97,113.13,486.56,450269.06,1016.41,true,true,true
2010-03-01,2010-03,2010-08-01,2010-08,5,443,90,0.2032,20.32,55850.23,126.07,620.56,506119.29,1142.48,true,true,true
2010-03-01,2010-03,2010-09-01,2010-09,6,443,109,0.246,24.6,65378.39,147.58,599.8,571497.68,1290.06,true,true,true
2010-03-01,2010-03,2010-10-01,2010-10,7,443,134,0.3025,30.25,81126.03,183.13,605.42,652623.71,1473.19,true,true,true
2010-03-01,2010-03,2010-11-01,2010-11,8,443,122,0.2754,27.54,76267.27,172.16,625.14,728890.98,1645.35,true,true,true
2010-03-01,2010-03,2010-12-01,2010-12,9,443,48,0.1084,10.84,21162.8,47.77,440.89,750053.78,1693.12,true,true,true
2010-03-01,2010-03,2011-01-01,2011-01,10,443,51,0.1151,11.51,24671.99,55.69,483.76,774725.77,1748.82,true,true,true
2010-03-01,2010-03,2011-02-01,2011-02,11,443,63,0.1422,14.22,30097.21,67.94,477.73,804822.98,1816.76,true,true,true
2010-03-01,2010-03,2011-03-01,2011-03,12,443,89,0.2009,20.09,43607.19,98.44,489.97,848430.17,1915.19,true,true,true
2010-03-01,2010-03,2011-04-01,2011-04,13,443,72,0.1625,16.25,41927.37,94.64,582.32,890357.54,2009.84,true,true,true
2010-03-01,2010-03,2011-05-01,2011-05,14,443,89,0.2009,20.09,47310.94,106.8,531.58,937668.48,2116.63,true,true,true
2010-03-01,2010-03,2011-06-01,2011-06,15,443,75,0.1693,16.93,31752.97,71.68,423.37,969421.45,2188.31,true,true,true
2010-03-01,2010-03,2011-07-01,2011-07,16,443,77,0.1738,17.38,42538.51,96.02,552.45,1011959.96,2284.33,true,true,true
2010-03-01,2010-03,2011-08-01,2011-08,17,443,69,0.1558,15.58,49959.38,112.78,724.05,1061919.34,2397.11,true,true,true
2010-03-01,2010-03,2011-09-01,2011-09,18,443,78,0.1761,17.61,47404.62,107.01,607.75,1109323.96,2504.12,true,true,true
2010-03-01,2010-03,2011-10-01,2011-10,19,443,89,0.2009,20.09,57324,129.4,644.09,1166647.96,2633.52,true,true,true
2010-03-01,2010-03,2011-11-01,2011-11,20,443,94,0.2122,21.22,62223.16,140.46,661.95,1228871.12,2773.98,true,true,true
2010-03-01,2010-03,2011-12-01,2011-12,21,443,35,0.079,7.9,17257.79,38.96,493.08,1246128.91,2812.93,true,false,false
2010-04-01,2010-04,2010-04-01,2010-04,0,294,294,1.0,100.0,124265.29,422.67,422.67,124265.29,422.67,true,true,true
2010-04-01,2010-04,2010-05-01,2010-05,1,294,57,0.1939,19.39,18871.04,64.19,331.07,143136.33,486.86,true,true,true
2010-04-01,2010-04,2010-06-01,2010-06,2,294,57,0.1939,19.39,20579.41,70,361.04,163715.74,556.86,true,true,true
2010-04-01,2010-04,2010-07-01,2010-07,3,294,48,0.1633,16.33,30099.75,102.38,627.08,193815.49,659.24,true,true,true
2010-04-01,2010-04,2010-08-01,2010-08,4,294,54,0.1837,18.37,22224.76,75.59,411.57,216040.25,734.83,true,true,true
2010-04-01,2010-04,2010-09-01,2010-09,5,294,66,0.2245,22.45,30769.05,104.66,466.2,246809.3,839.49,true,true,true
2010-04-01,2010-04,2010-10-01,2010-10,6,294,81,0.2755,27.55,35105.3,119.41,433.4,281914.6,958.89,true,true,true
2010-04-01,2010-04,2010-11-01,2010-11,7,294,77,0.2619,26.19,32670.45,111.12,424.29,314585.05,1070.02,true,true,true
2010-04-01,2010-04,2010-12-01,2010-12,8,294,31,0.1054,10.54,10302.55,35.04,332.34,324887.6,1105.06,true,true,true
2010-04-01,2010-04,2011-01-01,2011-01,9,294,32,0.1088,10.88,17661.73,60.07,551.93,342549.33,1165.13,true,true,true
2010-04-01,2010-04,2011-02-01,2011-02,10,294,22,0.0748,7.48,6498.14,22.1,295.37,349047.47,1187.24,true,true,true
2010-04-01,2010-04,2011-03-01,2011-03,11,294,41,0.1395,13.95,16954.37,57.67,413.52,366001.84,1244.9,true,true,true
2010-04-01,2010-04,2011-04-01,2011-04,12,294,41,0.1395,13.95,21429.66,72.89,522.67,387431.5,1317.79,true,true,true
2010-04-01,2010-04,2011-05-01,2011-05,13,294,46,0.1565,15.65,22614.4,76.92,491.62,410045.9,1394.71,true,true,true
2010-04-01,2010-04,2011-06-01,2011-06,14,294,46,0.1565,15.65,16747.04,56.96,364.07,426792.94,1451.68,true,true,true
2010-04-01,2010-04,2011-07-01,2011-07,15,294,46,0.1565,15.65,22450.36,76.36,488.05,449243.3,1528.04,true,true,true
2010-04-01,2010-04,2011-08-01,2011-08,16,294,41,0.1395,13.95,17851.94,60.72,435.41,467095.24,1588.76,true,true,true
2010-04-01,2010-04,2011-09-01,2011-09,17,294,44,0.1497,14.97,19359.41,65.85,439.99,486454.65,1654.61,true,true,true
2010-04-01,2010-04,2011-10-01,2011-10,18,294,53,0.1803,18.03,32099.9,109.18,605.66,518554.55,1763.79,true,true,true
2010-04-01,2010-04,2011-11-01,2011-11,19,294,66,0.2245,22.45,29883.44,101.64,452.78,548437.99,1865.44,true,true,true
2010-04-01,2010-04,2011-12-01,2011-12,20,294,17,0.0578,5.78,4942.32,16.81,290.72,553380.31,1882.25,true,false,false
2010-05-01,2010-05,2010-05-01,2010-05,0,254,254,1.0,100.0,110407.13,434.67,434.67,110407.13,434.67,true,true,true
2010-05-01,2010-05,2010-06-01,2010-06,1,254,40,0.1575,15.75,13574.65,53.44,339.37,123981.78,488.12,true,true,true
2010-05-01,2010-05,2010-07-01,2010-07,2,254,43,0.1693,16.93,14065.4,55.38,327.1,138047.18,543.49,true,true,true
2010-05-01,2010-05,2010-08-01,2010-08,3,254,44,0.1732,17.32,12685.68,49.94,288.31,150732.86,593.44,true,true,true
2010-05-01,2010-05,2010-09-01,2010-09,4,254,45,0.1772,17.72,16861.31,66.38,374.7,167594.17,659.82,true,true,true
2010-05-01,2010-05,2010-10-01,2010-10,5,254,65,0.2559,25.59,31174.36,122.73,479.61,198768.53,782.55,true,true,true
2010-05-01,2010-05,2010-11-01,2010-11,6,254,54,0.2126,21.26,23140.53,91.1,428.53,221909.06,873.66,true,true,true
2010-05-01,2010-05,2010-12-01,2010-12,7,254,32,0.126,12.6,9030.48,35.55,282.2,230939.54,909.21,true,true,true
2010-05-01,2010-05,2011-01-01,2011-01,8,254,15,0.0591,5.91,5879.52,23.15,391.97,236819.06,932.36,true,true,true
2010-05-01,2010-05,2011-02-01,2011-02,9,254,21,0.0827,8.27,7238.21,28.5,344.68,244057.27,960.86,true,true,true
2010-05-01,2010-05,2011-03-01,2011-03,10,254,29,0.1142,11.42,9263.98,36.47,319.45,253321.25,997.33,true,true,true
2010-05-01,2010-05,2011-04-01,2011-04,11,254,34,0.1339,13.39,13201.06,51.97,388.27,266522.31,1049.3,true,true,true
2010-05-01,2010-05,2011-05-01,2011-05,12,254,39,0.1535,15.35,17411.74,68.55,446.45,283934.05,1117.85,true,true,true
2010-05-01,2010-05,2011-06-01,2011-06,13,254,39,0.1535,15.35,18100.47,71.26,464.11,302034.52,1189.11,true,true,true
2010-05-01,2010-05,2011-07-01,2011-07,14,254,25,0.0984,9.84,10314.72,40.61,412.59,312349.24,1229.72,true,true,true
2010-05-01,2010-05,2011-08-01,2011-08,15,254,32,0.126,12.6,14712.35,57.92,459.76,327061.59,1287.64,true,true,true
2010-05-01,2010-05,2011-09-01,2011-09,16,254,35,0.1378,13.78,22168.65,87.28,633.39,349230.24,1374.92,true,true,true
2010-05-01,2010-05,2011-10-01,2011-10,17,254,42,0.1654,16.54,17589.7,69.25,418.8,366819.94,1444.17,true,true,true
2010-05-01,2010-05,2011-11-01,2011-11,18,254,39,0.1535,15.35,15874.58,62.5,407.04,382694.52,1506.67,true,true,true
2010-05-01,2010-05,2011-12-01,2011-12,19,254,12,0.0472,4.72,3417.78,13.46,284.82,386112.3,1520.13,true,false,false
2010-06-01,2010-06,2010-06-01,2010-06,0,270,270,1.0,100.0,131044.36,485.35,485.35,131044.36,485.35,true,true,true
2010-06-01,2010-06,2010-07-01,2010-07,1,270,47,0.1741,17.41,16038.77,59.4,341.25,147083.13,544.75,true,true,true
2010-06-01,2010-06,2010-08-01,2010-08,2,270,51,0.1889,18.89,22546.5,83.51,442.09,169629.63,628.26,true,true,true
2010-06-01,2010-06,2010-09-01,2010-09,3,270,55,0.2037,20.37,25780.81,95.48,468.74,195410.44,723.74,true,true,true
2010-06-01,2010-06,2010-10-01,2010-10,4,270,62,0.2296,22.96,34934.4,129.39,563.46,230344.84,853.13,true,true,true
2010-06-01,2010-06,2010-11-01,2010-11,5,270,77,0.2852,28.52,48306.23,178.91,627.35,278651.07,1032.04,true,true,true
2010-06-01,2010-06,2010-12-01,2010-12,6,270,34,0.1259,12.59,15921.01,58.97,468.27,294572.08,1091.01,true,true,true
2010-06-01,2010-06,2011-01-01,2011-01,7,270,24,0.0889,8.89,17269.38,63.96,719.56,311841.46,1154.97,true,true,true
2010-06-01,2010-06,2011-02-01,2011-02,8,270,22,0.0815,8.15,23850.97,88.34,1084.14,335692.43,1243.31,true,true,true
2010-06-01,2010-06,2011-03-01,2011-03,9,270,32,0.1185,11.85,28526.94,105.66,891.47,364219.37,1348.96,true,true,true
2010-06-01,2010-06,2011-04-01,2011-04,10,270,29,0.1074,10.74,12458.01,46.14,429.59,376677.38,1395.1,true,true,true
2010-06-01,2010-06,2011-05-01,2011-05,11,270,37,0.137,13.7,29939.65,110.89,809.18,406617.03,1505.99,true,true,true
2010-06-01,2010-06,2011-06-01,2011-06,12,270,40,0.1481,14.81,40341.98,149.41,1008.55,446959.01,1655.4,true,true,true
2010-06-01,2010-06,2011-07-01,2011-07,13,270,33,0.1222,12.22,16108.24,59.66,488.13,463067.25,1715.06,true,true,true
2010-06-01,2010-06,2011-08-01,2011-08,14,270,30,0.1111,11.11,45798.64,169.62,1526.62,508865.89,1884.69,true,true,true
2010-06-01,2010-06,2011-09-01,2011-09,15,270,33,0.1222,12.22,18715.65,69.32,567.14,527581.54,1954.01,true,true,true
2010-06-01,2010-06,2011-10-01,2011-10,16,270,36,0.1333,13.33,38368.76,142.11,1065.8,565950.3,2096.11,true,true,true
2010-06-01,2010-06,2011-11-01,2011-11,17,270,55,0.2037,20.37,27844.58,103.13,506.27,593794.88,2199.24,true,true,true
2010-06-01,2010-06,2011-12-01,2011-12,18,270,14,0.0519,5.19,4447.42,16.47,317.67,598242.3,2215.71,true,false,false
2010-07-01,2010-07,2010-07-01,2010-07,0,186,186,1.0,100.0,75047.65,403.48,403.48,75047.65,403.48,true,true,true
2010-07-01,2010-07,2010-08-01,2010-08,1,186,29,0.1559,15.59,8384.3,45.08,289.11,83431.95,448.56,true,true,true
2010-07-01,2010-07,2010-09-01,2010-09,2,186,34,0.1828,18.28,13690.61,73.61,402.67,97122.56,522.16,true,true,true
2010-07-01,2010-07,2010-10-01,2010-10,3,186,55,0.2957,29.57,24927.85,134.02,453.23,122050.41,656.19,true,true,true
2010-07-01,2010-07,2010-11-01,2010-11,4,186,54,0.2903,29.03,28658.5,154.08,530.71,150708.91,810.26,true,true,true
2010-07-01,2010-07,2010-12-01,2010-12,5,186,26,0.1398,13.98,9001.85,48.4,346.23,159710.76,858.66,true,true,true
2010-07-01,2010-07,2011-01-01,2011-01,6,186,21,0.1129,11.29,9095.05,48.9,433.1,168805.81,907.56,true,true,true
2010-07-01,2010-07,2011-02-01,2011-02,7,186,27,0.1452,14.52,10467.05,56.27,387.67,179272.86,963.83,true,true,true
2010-07-01,2010-07,2011-03-01,2011-03,8,186,27,0.1452,14.52,10378.25,55.8,384.38,189651.11,1019.63,true,true,true
2010-07-01,2010-07,2011-04-01,2011-04,9,186,21,0.1129,11.29,9946.03,53.47,473.62,199597.14,1073.1,true,true,true
2010-07-01,2010-07,2011-05-01,2011-05,10,186,25,0.1344,13.44,9192.18,49.42,367.69,208789.32,1122.52,true,true,true
2010-07-01,2010-07,2011-06-01,2011-06,11,186,27,0.1452,14.52,12650.06,68.01,468.52,221439.38,1190.53,true,true,true
2010-07-01,2010-07,2011-07-01,2011-07,12,186,25,0.1344,13.44,12283.53,66.04,491.34,233722.91,1256.57,true,true,true
2010-07-01,2010-07,2011-08-01,2011-08,13,186,25,0.1344,13.44,14311.51,76.94,572.46,248034.42,1333.52,true,true,true
2010-07-01,2010-07,2011-09-01,2011-09,14,186,36,0.1935,19.35,15681.11,84.31,435.59,263715.53,1417.83,true,true,true
2010-07-01,2010-07,2011-10-01,2011-10,15,186,32,0.172,17.2,15625.79,84.01,488.31,279341.32,1501.84,true,true,true
2010-07-01,2010-07,2011-11-01,2011-11,16,186,44,0.2366,23.66,22590.65,121.46,513.42,301931.97,1623.29,true,true,true
2010-07-01,2010-07,2011-12-01,2011-12,17,186,15,0.0806,8.06,7183.3,38.62,478.89,309115.27,1661.91,true,false,false
2010-08-01,2010-08,2010-08-01,2010-08,0,162,162,1.0,100.0,60663.3,374.46,374.46,60663.3,374.46,true,true,true
2010-08-01,2010-08,2010-09-01,2010-09,1,162,33,0.2037,20.37,13797.99,85.17,418.12,74461.29,459.64,true,true,true
2010-08-01,2010-08,2010-10-01,2010-10,2,162,48,0.2963,29.63,23029.07,142.15,479.77,97490.36,601.79,true,true,true
2010-08-01,2010-08,2010-11-01,2010-11,3,162,52,0.321,32.1,23403.83,144.47,450.07,120894.19,746.26,true,true,true
2010-08-01,2010-08,2010-12-01,2010-12,4,162,28,0.1728,17.28,14214.98,87.75,507.68,135109.17,834.01,true,true,true
2010-08-01,2010-08,2011-01-01,2011-01,5,162,19,0.1173,11.73,5428.84,33.51,285.73,140538.01,867.52,true,true,true
2010-08-01,2010-08,2011-02-01,2011-02,6,162,16,0.0988,9.88,5303.23,32.74,331.45,145841.24,900.25,true,true,true
2010-08-01,2010-08,2011-03-01,2011-03,7,162,20,0.1235,12.35,7279.92,44.94,364,153121.16,945.19,true,true,true
2010-08-01,2010-08,2011-04-01,2011-04,8,162,22,0.1358,13.58,9854.03,60.83,447.91,162975.19,1006.02,true,true,true
2010-08-01,2010-08,2011-05-01,2011-05,9,162,21,0.1296,12.96,9831.21,60.69,468.15,172806.4,1066.71,true,true,true
2010-08-01,2010-08,2011-06-01,2011-06,10,162,21,0.1296,12.96,7242.49,44.71,344.88,180048.89,1111.41,true,true,true
2010-08-01,2010-08,2011-07-01,2011-07,11,162,20,0.1235,12.35,6992.87,43.17,349.64,187041.76,1154.58,true,true,true
2010-08-01,2010-08,2011-08-01,2011-08,12,162,25,0.1543,15.43,11195.27,69.11,447.81,198237.03,1223.69,true,true,true
2010-08-01,2010-08,2011-09-01,2011-09,13,162,30,0.1852,18.52,18300.55,112.97,610.02,216537.58,1336.65,true,true,true
2010-08-01,2010-08,2011-10-01,2011-10,14,162,29,0.179,17.9,19485.88,120.28,671.93,236023.46,1456.93,true,true,true
2010-08-01,2010-08,2011-11-01,2011-11,15,162,32,0.1975,19.75,19734.22,121.82,616.69,255757.68,1578.75,true,true,true
2010-08-01,2010-08,2011-12-01,2011-12,16,162,11,0.0679,6.79,5620.11,34.69,510.92,261377.79,1613.44,true,false,false
2010-09-01,2010-09,2010-09-01,2010-09,0,243,243,1.0,100.0,159647.2,656.98,656.98,159647.2,656.98,true,true,true
2010-09-01,2010-09,2010-10-01,2010-10,1,243,55,0.2263,22.63,29633.55,121.95,538.79,189280.75,778.93,true,true,true
2010-09-01,2010-09,2010-11-01,2010-11,2,243,57,0.2346,23.46,32174.95,132.41,564.47,221455.7,911.34,true,true,true
2010-09-01,2010-09,2010-12-01,2010-12,3,243,30,0.1235,12.35,12190.99,50.17,406.37,233646.69,961.51,true,true,true
2010-09-01,2010-09,2011-01-01,2011-01,4,243,22,0.0905,9.05,26219.85,107.9,1191.81,259866.54,1069.41,true,true,true
2010-09-01,2010-09,2011-02-01,2011-02,5,243,25,0.1029,10.29,8267.87,34.02,330.71,268134.41,1103.43,true,true,true
2010-09-01,2010-09,2011-03-01,2011-03,6,243,33,0.1358,13.58,26073.17,107.3,790.1,294207.58,1210.73,true,true,true
2010-09-01,2010-09,2011-04-01,2011-04,7,243,24,0.0988,9.88,10859.1,44.69,452.46,305066.68,1255.42,true,true,true
2010-09-01,2010-09,2011-05-01,2011-05,8,243,31,0.1276,12.76,29454.3,121.21,950.14,334520.98,1376.63,true,true,true
2010-09-01,2010-09,2011-06-01,2011-06,9,243,32,0.1317,13.17,14726.95,60.6,460.22,349247.93,1437.23,true,true,true
2010-09-01,2010-09,2011-07-01,2011-07,10,243,28,0.1152,11.52,19943.94,82.07,712.28,369191.87,1519.31,true,true,true
2010-09-01,2010-09,2011-08-01,2011-08,11,243,24,0.0988,9.88,25898.68,106.58,1079.11,395090.55,1625.89,true,true,true
2010-09-01,2010-09,2011-09-01,2011-09,12,243,53,0.2181,21.81,102850.99,423.26,1940.58,497941.54,2049.14,true,true,true
