customer_id,first_purchase_date,first_purchase_month,second_purchase_date,total_orders,total_customer_revenue,is_repeat_customer,hours_to_second_purchase,days_to_second_purchase,customer_type,second_purchase_interval,second_purchase_interval_order
14341,2009-12-01,2009-12-01,2009-12-15,18,4452.02,true,335,13.96,Repeat customer,0–30 days,1
14478,2009-12-01,2009-12-01,2010-01-26,4,1276.66,true,1344,55.99,Repeat customer,31–60 days,2
14543,2009-12-01,2009-12-01,2009-12-07,39,14587.87,true,142,5.92,Repeat customer,0–30 days,1
14654,2009-12-01,2009-12-01,,1,246.86,false,,,One-time customer,No repeat purchase,0
14865,2009-12-01,2009-12-01,2010-11-30,4,92.52,true,8733,363.89,Repeat customer,181+ days,5
14871,2009-12-01,2009-12-01,2009-12-15,9,1228.17,true,336,13.98,Repeat customer,0–30 days,1
14911,2009-12-01,2009-12-01,2009-12-07,398,291420.81,true,142,5.92,Repeat customer,0–30 days,1
15005,2009-12-01,2009-12-01,2009-12-09,56,13754.58,true,192,8.01,Repeat customer,0–30 days,1
15051,2009-12-01,2009-12-01,2010-02-16,9,3926.91,true,1845,76.89,Repeat customer,61–90 days,3
15061,2009-12-01,2009-12-01,2009-12-01,127,126389.02,true,0,0.0,Repeat customer,0–30 days,1
15265,2009-12-01,2009-12-01,2010-04-14,4,3345.64,true,3210,133.76,Repeat customer,91–180 days,4
15311,2009-12-01,2009-12-01,2009-12-02,208,114966.42,true,24,1.0,Repeat customer,0–30 days,1
15326,2009-12-01,2009-12-01,2009-12-18,5,1700.52,true,411,17.11,Repeat customer,0–30 days,1
15362,2009-12-01,2009-12-01,2010-09-17,2,613.08,true,6961,290.06,Repeat customer,181+ days,5
15380,2009-12-01,2009-12-01,2009-12-10,11,3248.96,true,218,9.07,Repeat customer,0–30 days,1
15413,2009-12-01,2009-12-01,2009-12-08,5,6798.72,true,173,7.2,Repeat customer,0–30 days,1
15485,2009-12-01,2009-12-01,2009-12-01,7,4810.92,true,0,0.01,Repeat customer,0–30 days,1
15601,2009-12-01,2009-12-01,2009-12-03,30,14191.74,true,49,2.04,Repeat customer,0–30 days,1
15662,2009-12-01,2009-12-01,2010-02-16,2,283.73,true,1851,77.12,Repeat customer,61–90 days,3
15712,2009-12-01,2009-12-01,2010-01-06,12,3472.41,true,866,36.08,Repeat customer,31–60 days,2
15719,2009-12-01,2009-12-01,2009-12-10,31,10195.97,true,216,8.97,Repeat customer,0–30 days,1
15750,2009-12-01,2009-12-01,2009-12-16,18,6452.99,true,359,14.95,Repeat customer,0–30 days,1
15793,2009-12-01,2009-12-01,2010-03-23,8,2399.57,true,2684,111.82,Repeat customer,91–180 days,4
15808,2009-12-01,2009-12-01,2009-12-15,21,17180.25,true,334,13.9,Repeat customer,0–30 days,1
15945,2009-12-01,2009-12-01,2010-01-15,4,646.27,true,1084,45.16,Repeat customer,31–60 days,2
15967,2009-12-01,2009-12-01,2010-02-08,12,2966,true,1656,69.0,Repeat customer,61–90 days,3
15984,2009-12-01,2009-12-01,2009-12-11,30,8393.02,true,242,10.1,Repeat customer,0–30 days,1
15998,2009-12-01,2009-12-01,2009-12-11,16,8274.14,true,240,9.99,Repeat customer,0–30 days,1
16011,2009-12-01,2009-12-01,2009-12-10,29,5601.01,true,218,9.12,Repeat customer,0–30 days,1
16167,2009-12-01,2009-12-01,2010-04-01,5,1386.12,true,2911,121.28,Repeat customer,91–180 days,4
16321,2009-12-01,2009-12-01,2010-03-23,7,604.55,true,2694,112.23,Repeat customer,91–180 days,4
16329,2009-12-01,2009-12-01,2010-03-04,4,1664.92,true,2236,93.15,Repeat customer,91–180 days,4
16393,2009-12-01,2009-12-01,2010-02-19,23,5297.77,true,1920,80.03,Repeat customer,61–90 days,3
16563,2009-12-01,2009-12-01,2010-02-18,6,4412.56,true,1889,78.72,Repeat customer,61–90 days,3
16620,2009-12-01,2009-12-01,2010-03-05,6,1758.93,true,2257,94.05,Repeat customer,91–180 days,4
16701,2009-12-01,2009-12-01,2009-12-17,26,9916.73,true,378,15.75,Repeat customer,0–30 days,1
16763,2009-12-01,2009-12-01,2011-05-25,2,964.7,true,12956,539.85,Repeat customer,181+ days,5
16887,2009-12-01,2009-12-01,2010-11-04,3,658.17,true,8110,337.91,Repeat customer,181+ days,5
17056,2009-12-01,2009-12-01,,1,128.6,false,,,One-time customer,No repeat purchase,0
17063,2009-12-01,2009-12-01,2010-03-08,13,3638.53,true,2324,96.84,Repeat customer,91–180 days,4
17191,2009-12-01,2009-12-01,2010-01-29,15,4310.34,true,1413,58.89,Repeat customer,31–60 days,2
17238,2009-12-01,2009-12-01,2009-12-11,32,7331.67,true,241,10.01,Repeat customer,0–30 days,1
17243,2009-12-01,2009-12-01,2009-12-04,69,20203.58,true,71,2.96,Repeat customer,0–30 days,1
17246,2009-12-01,2009-12-01,2010-06-11,2,38.92,true,4603,191.79,Repeat customer,181+ days,5
17345,2009-12-01,2009-12-01,2010-05-05,10,1586.63,true,3718,154.93,Repeat customer,91–180 days,4
17428,2009-12-01,2009-12-01,2009-12-01,45,31466.76,true,0,0.0,Repeat customer,0–30 days,1
17519,2009-12-01,2009-12-01,2010-01-22,15,4774.17,true,1251,52.11,Repeat customer,31–60 days,2
17592,2009-12-01,2009-12-01,,1,148.3,false,,,One-time customer,No repeat purchase,0
17611,2009-12-01,2009-12-01,2010-01-24,28,8337.53,true,1296,54.01,Repeat customer,31–60 days,2
17700,2009-12-01,2009-12-01,2010-01-26,14,6679.97,true,1344,55.99,Repeat customer,31–60 days,2
17742,2009-12-01,2009-12-01,2010-02-09,11,2098.48,true,1677,69.87,Repeat customer,61–90 days,3
17804,2009-12-01,2009-12-01,2010-06-25,3,383.78,true,4945,206.05,Repeat customer,181+ days,5
17865,2009-12-01,2009-12-01,2009-12-07,46,26312.19,true,147,6.12,Repeat customer,0–30 days,1
17961,2009-12-01,2009-12-01,2009-12-04,100,2866.74,true,73,3.02,Repeat customer,0–30 days,1
17984,2009-12-01,2009-12-01,2010-08-01,5,1152.19,true,5836,243.17,Repeat customer,181+ days,5
17998,2009-12-01,2009-12-01,2009-12-02,3,639.24,true,21,0.87,Repeat customer,0–30 days,1
18037,2009-12-01,2009-12-01,2009-12-18,15,167.42,true,407,16.94,Repeat customer,0–30 days,1
18087,2009-12-01,2009-12-01,2009-12-01,17,14761.52,true,0,0.0,Repeat customer,0–30 days,1
18102,2009-12-01,2009-12-01,2009-12-03,145,580987.04,true,52,2.17,Repeat customer,0–30 days,1
12435,2009-12-02,2009-12-01,2010-03-12,6,13925.93,true,2401,100.04,Repeat customer,91–180 days,4
12437,2009-12-02,2009-12-01,2010-01-19,39,12683.4,true,1150,47.91,Repeat customer,31–60 days,2
12842,2009-12-02,2009-12-01,2010-10-31,4,1917.99,true,7994,333.1,Repeat customer,181+ days,5
12948,2009-12-02,2009-12-01,2009-12-09,9,2317.43,true,167,6.97,Repeat customer,0–30 days,1
12980,2009-12-02,2009-12-01,2010-01-11,21,16245.78,true,963,40.15,Repeat customer,31–60 days,2
13089,2009-12-02,2009-12-01,2009-12-07,203,113416.91,true,119,4.93,Repeat customer,0–30 days,1
13269,2009-12-02,2009-12-01,2009-12-02,28,8537.32,true,0,0.0,Repeat customer,0–30 days,1
13313,2009-12-02,2009-12-01,2009-12-02,12,3445.32,true,0,0.0,Repeat customer,0–30 days,1
13457,2009-12-02,2009-12-01,2010-01-20,2,148.22,true,1172,48.83,Repeat customer,31–60 days,2
13564,2009-12-02,2009-12-01,2009-12-07,37,16498.97,true,121,5.01,Repeat customer,0–30 days,1
13623,2009-12-02,2009-12-01,2010-01-21,10,2533.06,true,1200,49.98,Repeat customer,31–60 days,2
13654,2009-12-02,2009-12-01,2010-03-03,11,6308,true,2189,91.19,Repeat customer,91–180 days,4
13740,2009-12-02,2009-12-01,2010-05-12,5,1582.77,true,3861,160.89,Repeat customer,91–180 days,4
13777,2009-12-02,2009-12-01,2009-12-02,61,49638.26,true,0,0.0,Repeat customer,0–30 days,1
14000,2009-12-02,2009-12-01,2010-04-22,5,2046.34,true,3386,141.09,Repeat customer,91–180 days,4
14080,2009-12-02,2009-12-01,2009-12-09,5,1115.68,true,167,6.96,Repeat customer,0–30 days,1
14106,2009-12-02,2009-12-01,,1,214.8,false,,,One-time customer,No repeat purchase,0
14122,2009-12-02,2009-12-01,2009-12-11,3,362.42,true,212,8.84,Repeat customer,0–30 days,1
14135,2009-12-02,2009-12-01,2009-12-09,24,8839.67,true,170,7.07,Repeat customer,0–30 days,1
14204,2009-12-02,2009-12-01,2010-06-21,4,1024.83,true,4827,201.11,Repeat customer,181+ days,5
14299,2009-12-02,2009-12-01,2009-12-20,27,14070.25,true,434,18.06,Repeat customer,0–30 days,1
14302,2009-12-02,2009-12-01,2010-02-15,3,742.9,true,1801,75.04,Repeat customer,61–90 days,3
14396,2009-12-02,2009-12-01,2010-01-24,7,1969.38,true,1270,52.94,Repeat customer,31–60 days,2
14425,2009-12-02,2009-12-01,2009-12-17,3,661.39,true,360,15.02,Repeat customer,0–30 days,1
14440,2009-12-02,2009-12-01,2010-01-22,13,5982.03,true,1223,50.98,Repeat customer,31–60 days,2
14467,2009-12-02,2009-12-01,2010-03-16,12,2203.24,true,2496,103.99,Repeat customer,91–180 days,4
14527,2009-12-02,2009-12-01,2009-12-04,122,27246.88,true,48,2.04,Repeat customer,0–30 days,1
14549,2009-12-02,2009-12-01,2010-04-25,4,913.6,true,3453,143.9,Repeat customer,91–180 days,4
14560,2009-12-02,2009-12-01,2009-12-20,44,6114.03,true,435,18.13,Repeat customer,0–30 days,1
14646,2009-12-02,2009-12-01,2009-12-02,151,528602.52,true,0,0.0,Repeat customer,0–30 days,1
14653,2009-12-02,2009-12-01,2010-01-05,12,3593.06,true,817,34.02,Repeat customer,31–60 days,2
14667,2009-12-02,2009-12-01,2009-12-16,54,20395.34,true,335,13.97,Repeat customer,0–30 days,1
14669,2009-12-02,2009-12-01,2010-02-16,7,3216.78,true,1823,75.96,Repeat customer,61–90 days,3
14739,2009-12-02,2009-12-01,2009-12-11,25,11573.62,true,214,8.9,Repeat customer,0–30 days,1
14799,2009-12-02,2009-12-01,2011-10-19,2,338.15,true,16469,686.21,Repeat customer,181+ days,5
14831,2009-12-02,2009-12-01,2009-12-02,3,1676.57,true,0,0.0,Repeat customer,0–30 days,1
14841,2009-12-02,2009-12-01,2009-12-08,14,7163,true,140,5.82,Repeat customer,0–30 days,1
14894,2009-12-02,2009-12-01,2010-09-22,3,1492.81,true,7061,294.2,Repeat customer,181+ days,5
14980,2009-12-02,2009-12-01,,1,150.68,false,,,One-time customer,No repeat purchase,0
14987,2009-12-02,2009-12-01,2009-12-13,8,1550.65,true,262,10.89,Repeat customer,0–30 days,1
15287,2009-12-02,2009-12-01,2010-09-30,5,856.03,true,7253,302.22,Repeat customer,181+ days,5
15353,2009-12-02,2009-12-01,2010-06-08,7,2794.47,true,4515,188.1,Repeat customer,181+ days,5
15482,2009-12-02,2009-12-01,2009-12-03,19,14417.36,true,18,0.72,Repeat customer,0–30 days,1
15523,2009-12-02,2009-12-01,2009-12-02,16,17259.19,true,0,0.0,Repeat customer,0–30 days,1
15542,2009-12-02,2009-12-01,2009-12-02,3,855.71,true,1,0.01,Repeat customer,0–30 days,1
15581,2009-12-02,2009-12-01,2009-12-02,38,7480.4,true,0,0.01,Repeat customer,0–30 days,1
15602,2009-12-02,2009-12-01,2010-01-28,16,3137.96,true,1372,57.18,Repeat customer,31–60 days,2
15615,2009-12-02,2009-12-01,2009-12-02,47,21373.97,true,0,0.0,Repeat customer,0–30 days,1
15680,2009-12-02,2009-12-01,2010-01-24,10,4028.69,true,1275,53.12,Repeat customer,31–60 days,2
15759,2009-12-02,2009-12-01,2010-05-14,7,830.93,true,3914,163.11,Repeat customer,91–180 days,4
15794,2009-12-02,2009-12-01,2009-12-03,2,777,true,22,0.91,Repeat customer,0–30 days,1
15833,2009-12-02,2009-12-01,,1,80.4,false,,,One-time customer,No repeat purchase,0
15917,2009-12-02,2009-12-01,2009-12-02,5,530.17,true,1,0.03,Repeat customer,0–30 days,1
15989,2009-12-02,2009-12-01,2010-11-29,2,368.31,true,8685,361.84,Repeat customer,181+ days,5
16086,2009-12-02,2009-12-01,2010-04-21,10,2687.73,true,3360,140.01,Repeat customer,91–180 days,4
16126,2009-12-02,2009-12-01,2010-01-21,15,14644.6,true,1203,50.13,Repeat customer,31–60 days,2
16131,2009-12-02,2009-12-01,2010-04-22,12,9957.42,true,3383,140.99,Repeat customer,91–180 days,4
16156,2009-12-02,2009-12-01,2009-12-11,20,6188.18,true,209,8.73,Repeat customer,0–30 days,1
16163,2009-12-02,2009-12-01,2009-12-08,6,2407.98,true,147,6.14,Repeat customer,0–30 days,1
16200,2009-12-02,2009-12-01,2009-12-02,12,5608.1,true,0,0.01,Repeat customer,0–30 days,1
16202,2009-12-02,2009-12-01,2009-12-15,9,2501.99,true,314,13.07,Repeat customer,0–30 days,1
16210,2009-12-02,2009-12-01,2009-12-08,35,33750.97,true,144,6.0,Repeat customer,0–30 days,1
16233,2009-12-02,2009-12-01,2010-01-21,9,1818.31,true,1202,50.1,Repeat customer,31–60 days,2
16467,2009-12-02,2009-12-01,2010-01-06,7,2869.16,true,839,34.96,Repeat customer,31–60 days,2
16525,2009-12-02,2009-12-01,2009-12-07,48,24151.3,true,119,4.95,Repeat customer,0–30 days,1
16550,2009-12-02,2009-12-01,2009-12-15,18,8813.58,true,313,13.03,Repeat customer,0–30 days,1
16700,2009-12-02,2009-12-01,2009-12-02,25,8830.77,true,0,0.0,Repeat customer,0–30 days,1
16711,2009-12-02,2009-12-01,2009-12-14,9,2868.48,true,289,12.05,Repeat customer,0–30 days,1
16797,2009-12-02,2009-12-01,2010-02-21,5,1802.02,true,1946,81.09,Repeat customer,61–90 days,3
16823,2009-12-02,2009-12-01,2010-03-22,7,2243.09,true,2648,110.32,Repeat customer,91–180 days,4
16987,2009-12-02,2009-12-01,2009-12-16,11,2521.4,true,338,14.06,Repeat customer,0–30 days,1
17019,2009-12-02,2009-12-01,2010-03-24,11,3602.29,true,2689,112.03,Repeat customer,91–180 days,4
17087,2009-12-02,2009-12-01,,1,221.53,false,,,One-time customer,No repeat purchase,0
17189,2009-12-02,2009-12-01,2009-12-16,5,953.63,true,337,14.02,Repeat customer,0–30 days,1
17193,2009-12-02,2009-12-01,2010-11-18,9,2310.04,true,8430,351.29,Repeat customer,181+ days,5
17377,2009-12-02,2009-12-01,2009-12-02,78,17644.27,true,1,0.01,Repeat customer,0–30 days,1
17412,2009-12-02,2009-12-01,2009-12-11,16,4220.22,true,213,8.85,Repeat customer,0–30 days,1
17476,2009-12-02,2009-12-01,2010-11-09,2,489.86,true,8206,341.93,Repeat customer,181+ days,5
17511,2009-12-02,2009-12-01,2009-12-14,60,172132.87,true,290,12.09,Repeat customer,0–30 days,1
17606,2009-12-02,2009-12-01,,1,87.3,false,,,One-time customer,No repeat purchase,0
17660,2009-12-02,2009-12-01,2011-07-21,2,342.22,true,14301,595.9,Repeat customer,181+ days,5
17716,2009-12-02,2009-12-01,2010-03-05,24,15956.97,true,2228,92.86,Repeat customer,91–180 days,4
17768,2009-12-02,2009-12-01,2010-01-28,7,3292.73,true,1371,57.14,Repeat customer,31–60 days,2
17809,2009-12-02,2009-12-01,2009-12-15,20,10085.89,true,308,12.8,Repeat customer,0–30 days,1
17818,2009-12-02,2009-12-01,,1,124.78,false,,,One-time customer,No repeat purchase,0
17841,2009-12-02,2009-12-01,2009-12-04,211,68545.25,true,47,1.95,Repeat customer,0–30 days,1
17867,2009-12-02,2009-12-01,2009-12-23,15,1582.05,true,507,21.1,Repeat customer,0–30 days,1
17909,2009-12-02,2009-12-01,,1,110.05,false,,,One-time customer,No repeat purchase,0
17949,2009-12-02,2009-12-01,2009-12-02,118,117314.08,true,0,0.0,Repeat customer,0–30 days,1
18001,2009-12-02,2009-12-01,2010-06-11,6,924.14,true,4580,190.84,Repeat customer,181+ days,5
18108,2009-12-02,2009-12-01,2010-04-22,3,848.81,true,3381,140.87,Repeat customer,91–180 days,4
12577,2009-12-03,2009-12-01,2010-10-26,8,1617.1,true,7841,326.7,Repeat customer,181+ days,5
12779,2009-12-03,2009-12-01,2010-03-01,14,6474.11,true,2114,88.1,Repeat customer,61–90 days,3
12835,2009-12-03,2009-12-01,2009-12-04,41,5996.83,true,26,1.11,Repeat customer,0–30 days,1
12872,2009-12-03,2009-12-01,2010-01-28,12,3283.96,true,1338,55.76,Repeat customer,31–60 days,2
12934,2009-12-03,2009-12-01,,1,181.65,false,,,One-time customer,No repeat purchase,0
12937,2009-12-03,2009-12-01,2009-12-17,9,3097.61,true,335,13.96,Repeat customer,0–30 days,1
12949,2009-12-03,2009-12-01,2010-01-25,22,15526.7,true,1266,52.72,Repeat customer,31–60 days,2
13001,2009-12-03,2009-12-01,2010-01-25,33,24042.65,true,1268,52.82,Repeat customer,31–60 days,2
13037,2009-12-03,2009-12-01,2010-01-18,12,3914.95,true,1101,45.88,Repeat customer,31–60 days,2
13208,2009-12-03,2009-12-01,2010-06-24,9,1976.3,true,4877,203.2,Repeat customer,181+ days,5
13416,2009-12-03,2009-12-01,2011-09-19,3,940.8,true,15721,655.07,Repeat customer,181+ days,5
13468,2009-12-03,2009-12-01,2009-12-15,72,12793.28,true,284,11.83,Repeat customer,0–30 days,1
13485,2009-12-03,2009-12-01,2009-12-08,11,3019.22,true,119,4.94,Repeat customer,0–30 days,1
13531,2009-12-03,2009-12-01,2010-04-23,6,1433.07,true,3379,140.81,Repeat customer,91–180 days,4
13611,2009-12-03,2009-12-01,2010-03-24,10,3297.93,true,2668,111.16,Repeat customer,91–180 days,4
13753,2009-12-03,2009-12-01,2010-02-26,4,2094.57,true,2042,85.08,Repeat customer,61–90 days,3
13786,2009-12-03,2009-12-01,2010-03-15,6,3127.99,true,2449,102.04,Repeat customer,91–180 days,4
13800,2009-12-03,2009-12-01,2010-10-05,3,1679.56,true,7348,306.18,Repeat customer,181+ days,5
13895,2009-12-03,2009-12-01,2010-07-12,6,4008.52,true,5301,220.9,Repeat customer,181+ days,5
13931,2009-12-03,2009-12-01,2009-12-03,11,5257.38,true,0,0.0,Repeat customer,0–30 days,1
13979,2009-12-03,2009-12-01,2010-03-01,7,3379.93,true,2117,88.24,Repeat customer,61–90 days,3
13993,2009-12-03,2009-12-01,2010-02-09,19,6775.71,true,1633,68.04,Repeat customer,61–90 days,3
14031,2009-12-03,2009-12-01,2009-12-11,44,39019.51,true,194,8.06,Repeat customer,0–30 days,1
14051,2009-12-03,2009-12-01,2009-12-17,37,21770.98,true,337,14.03,Repeat customer,0–30 days,1
14057,2009-12-03,2009-12-01,2010-04-13,22,8346.66,true,3142,130.93,Repeat customer,91–180 days,4
14159,2009-12-03,2009-12-01,2010-02-22,20,7860.8,true,1943,80.94,Repeat customer,61–90 days,3
14347,2009-12-03,2009-12-01,,1,82.6,false,,,One-time customer,No repeat purchase,0
14483,2009-12-03,2009-12-01,2011-03-03,2,257.1,true,10920,455.01,Repeat customer,181+ days,5
14606,2009-12-03,2009-12-01,2009-12-06,192,29951.37,true,74,3.09,Repeat customer,0–30 days,1
14644,2009-12-03,2009-12-01,2010-08-02,7,2247.72,true,5804,241.85,Repeat customer,181+ days,5
14662,2009-12-03,2009-12-01,2010-03-17,7,1376.43,true,2491,103.77,Repeat customer,91–180 days,4
14710,2009-12-03,2009-12-01,2009-12-09,13,1899.79,true,144,6.01,Repeat customer,0–30 days,1
14713,2009-12-03,2009-12-01,2010-01-21,21,5115.76,true,1176,48.99,Repeat customer,31–60 days,2
14750,2009-12-03,2009-12-01,,1,112.03,false,,,One-time customer,No repeat purchase,0
14755,2009-12-03,2009-12-01,2009-12-03,25,9972.55,true,0,0.0,Repeat customer,0–30 days,1
14771,2009-12-03,2009-12-01,2010-03-28,2,594.62,true,2763,115.13,Repeat customer,91–180 days,4
14838,2009-12-03,2009-12-01,2010-10-12,2,769.92,true,7518,313.25,Repeat customer,181+ days,5
14898,2009-12-03,2009-12-01,2009-12-13,14,3365.95,true,240,9.98,Repeat customer,0–30 days,1
14905,2009-12-03,2009-12-01,2010-03-03,8,1971.39,true,2160,90.0,Repeat customer,61–90 days,3
14915,2009-12-03,2009-12-01,2010-03-03,11,1811.25,true,2162,90.1,Repeat customer,91–180 days,4
14952,2009-12-03,2009-12-01,2009-12-16,32,17629.35,true,311,12.95,Repeat customer,0–30 days,1
14958,2009-12-03,2009-12-01,2010-03-23,6,941.99,true,2637,109.89,Repeat customer,91–180 days,4
14967,2009-12-03,2009-12-01,2010-02-18,6,1982.61,true,1846,76.93,Repeat customer,61–90 days,3
15179,2009-12-03,2009-12-01,2010-01-22,13,7491.92,true,1198,49.93,Repeat customer,31–60 days,2
15194,2009-12-03,2009-12-01,2009-12-08,28,12021.53,true,128,5.31,Repeat customer,0–30 days,1
15255,2009-12-03,2009-12-01,2010-06-13,9,3706.02,true,4613,192.22,Repeat customer,181+ days,5
15291,2009-12-03,2009-12-01,2009-12-09,40,13517.76,true,142,5.94,Repeat customer,0–30 days,1
15466,2009-12-03,2009-12-01,2010-04-12,4,1560.46,true,3122,130.1,Repeat customer,91–180 days,4
15550,2009-12-03,2009-12-01,2009-12-14,12,2211.05,true,259,10.8,Repeat customer,0–30 days,1
15658,2009-12-03,2009-12-01,2010-07-28,8,2117.27,true,5689,237.05,Repeat customer,181+ days,5
15768,2009-12-03,2009-12-01,2009-12-09,34,15308.89,true,144,6.01,Repeat customer,0–30 days,1
15856,2009-12-03,2009-12-01,2009-12-11,52,32275.95,true,194,8.11,Repeat customer,0–30 days,1
15884,2009-12-03,2009-12-01,2010-10-03,2,244.6,true,7293,303.9,Repeat customer,181+ days,5
15953,2009-12-03,2009-12-01,2010-02-09,18,3440.34,true,1630,67.92,Repeat customer,61–90 days,3
15965,2009-12-03,2009-12-01,2010-02-14,13,2771.94,true,1753,73.03,Repeat customer,61–90 days,3
16003,2009-12-03,2009-12-01,2010-03-24,10,5613.83,true,2655,110.63,Repeat customer,91–180 days,4
16139,2009-12-03,2009-12-01,2009-12-17,5,1111.15,true,334,13.9,Repeat customer,0–30 days,1
16159,2009-12-03,2009-12-01,2010-03-02,4,1232.79,true,2139,89.13,Repeat customer,61–90 days,3
16168,2009-12-03,2009-12-01,2009-12-09,66,10360.67,true,148,6.16,Repeat customer,0–30 days,1
16301,2009-12-03,2009-12-01,,1,107.33,false,,,One-time customer,No repeat purchase,0
16497,2009-12-03,2009-12-01,2010-01-08,23,6695.28,true,860,35.85,Repeat customer,31–60 days,2
16558,2009-12-03,2009-12-01,2010-03-09,38,13304.11,true,2297,95.72,Repeat customer,91–180 days,4
16612,2009-12-03,2009-12-01,2010-05-23,9,3245.43,true,4103,170.93,Repeat customer,91–180 days,4
16722,2009-12-03,2009-12-01,2010-02-03,22,8189.56,true,1483,61.8,Repeat customer,61–90 days,3
16736,2009-12-03,2009-12-01,2009-12-04,5,2956.56,true,18,0.77,Repeat customer,0–30 days,1
16779,2009-12-03,2009-12-01,2009-12-06,53,32809.03,true,71,2.99,Repeat customer,0–30 days,1
16791,2009-12-03,2009-12-01,2010-01-26,15,3957.63,true,1292,53.85,Repeat customer,31–60 days,2
16918,2009-12-03,2009-12-01,2010-02-11,16,3206.54,true,1681,70.05,Repeat customer,61–90 days,3
17017,2009-12-03,2009-12-01,2010-06-16,29,12576.99,true,4677,194.88,Repeat customer,181+ days,5
17035,2009-12-03,2009-12-01,2010-04-27,4,613.59,true,3484,145.15,Repeat customer,91–180 days,4
17069,2009-12-03,2009-12-01,2010-05-06,14,5517.23,true,3699,154.11,Repeat customer,91–180 days,4
17155,2009-12-03,2009-12-01,2009-12-08,7,892.46,true,121,5.05,Repeat customer,0–30 days,1
17209,2009-12-03,2009-12-01,2009-12-11,3,595.7,true,192,8.02,Repeat customer,0–30 days,1
17271,2009-12-03,2009-12-01,,1,204.3,false,,,One-time customer,No repeat purchase,0
17287,2009-12-03,2009-12-01,2009-12-03,21,3826.86,true,0,0.0,Repeat customer,0–30 days,1
